season,division,date,home,away,home_goals,away_goals
2024,3,2024-12-02,Slovenia,Austria,25,24
2024,3,2024-12-01,Iceland,Ukraine,27,24
2024,3,2024-12-01,Serbia,Czech Republic,24,27
2024,3,2024-12-01,Denmark,Switzerland,35,30
2024,3,2024-12-01,Montenegro,Romania,27,25
2024,3,2024-12-01,Netherlands,Germany,29,22
2024,3,2024-12-01,Croatia,Faroe Islands,17,17
2024,1,2024-11-30,Egypt,Senegal,16,21
2024,3,2024-11-30,North Macedonia,Turkey,25,25
2024,3,2024-11-30,Slovenia,Slovakia,37,24
2024,3,2024-11-30,France,Spain,24,22
2024,3,2024-11-30,Norway,Austria,38,24
2024,3,2024-11-30,Sweden,Hungary,25,32
2024,3,2024-11-30,Poland,Portugal,22,21
2024,3,2024-11-29,Denmark,Croatia,34,26
2024,3,2024-11-29,Germany,Ukraine,30,17
2024,3,2024-11-29,Montenegro,Serbia,24,18
2024,3,2024-11-29,Netherlands,Iceland,27,25
2024,3,2024-11-29,Romania,Czech Republic,29,28
2024,3,2024-11-29,Switzerland,Faroe Islands,28,25
2024,3,2024-11-28,France,Poland,35,22
2024,3,2024-11-28,Norway,Slovenia,33,26
2024,3,2024-11-28,Sweden,North Macedonia,28,18
2024,3,2024-11-28,Austria,Slovakia,37,24
2024,3,2024-11-28,Hungary,Turkey,30,24
2024,3,2024-11-28,Spain,Portugal,30,24
2024,1,2024-11-27,Angola,Tunisia,36,23
2024,4,2024-11-24,Hungary,Ukraine,38,19
2024,4,2024-11-24,Austria,Germany,26,28
2024,4,2024-11-24,Sweden,Poland,28,27
2024,4,2024-11-23,Slovakia,Ukraine,30,27
2024,4,2024-11-23,Sweden,Poland,38,22
2024,4,2024-11-22,Switzerland,Iceland,30,29
2024,4,2024-11-22,Hungary,Slovakia,38,31
2024,4,2024-11-22,Croatia,North Macedonia,26,18
2024,4,2024-10-27,Romania,Brazil,31,34
2024,4,2024-10-27,Turkey,Slovakia,31,36
2024,4,2024-10-27,Switzerland,North Macedonia,27,22
2024,4,2024-10-26,Brazil,Turkey,33,28
2024,4,2024-10-26,Iceland,Poland,28,24
2024,4,2024-10-26,France,Hungary,26,22
2024,4,2024-10-26,Romania,Switzerland,27,36
2024,4,2024-10-26,Sweden,Spain,41,28
2024,4,2024-10-26,North Macedonia,Slovakia,27,29
2024,4,2024-10-25,Iceland,Poland,30,24
2024,4,2024-10-25,Switzerland,Turkey,37,26
2024,4,2024-10-25,Austria,Czech Republic,26,25
2024,4,2024-10-25,Romania,North Macedonia,36,25
2024,4,2024-10-25,Brazil,Slovakia,34,30
2024,4,2024-10-24,France,Hungary,27,30
2024,4,2024-10-24,Sweden,Spain,40,24
2024,3,2024-10-15,Italy,Slovenia,18,31
2024,3,2024-10-15,Ukraine,Slovakia,25,20
2024,3,2024-10-15,Turkey,Serbia,29,29
2024,3,2024-10-15,Bulgaria,Montenegro,20,34
2024,3,2024-10-15,Faroe Islands,Iceland,23,28
2024,3,2024-10-15,Luxembourg,Sweden,17,39
2024,3,2024-10-15,Portugal,Czech Republic,26,30
2024,3,2024-10-15,Lithuania,North Macedonia,28,31
2024,3,2024-10-14,Kosovo,Denmark,19,40
2024,3,2024-10-14,Bosnia & Herzegovina,Croatia,17,31
2024,3,2024-10-14,Greece,Romania,20,32
2024,3,2024-10-14,Finland,Netherlands,13,31
2024,3,2024-10-12,Denmark,Kosovo,44,17
2024,3,2024-10-12,Germany,Ukraine,31,24
2024,3,2024-10-12,Netherlands,Portugal,38,27
2024,3,2024-10-12,Sweden,Faroe Islands,37,20
2024,3,2024-10-11,Iceland,Luxembourg,32,14
2024,3,2024-10-11,France,Italy,50,16
2024,3,2024-10-11,Spain,Lithuania,47,14
2024,3,2024-10-11,Croatia,Greece,32,22
2024,3,2024-10-11,Montenegro,Turkey,39,23
2024,3,2024-10-11,Serbia,Bulgaria,40,16
2024,3,2024-10-11,Czech Republic,Finland,31,21
2024,3,2024-10-11,Romania,Bosnia & Herzegovina,49,18
2024,5,2024-10-11,Angola,Senegal,22,21
2024,4,2024-09-29,Portugal,Turkey,33,26
2024,4,2024-09-29,Austria,North Macedonia,34,21
2024,4,2024-09-28,Netherlands,Serbia,26,22
2024,4,2024-09-28,Portugal,Brazil,24,23
2024,4,2024-09-28,Hungary,Romania,37,28
2024,4,2024-09-28,Austria,North Macedonia,31,25
2024,4,2024-09-28,Czech Republic,Iceland,26,21
2024,4,2024-09-28,Slovakia,Faroe Islands,23,30
2024,4,2024-09-28,Croatia,Slovenia,18,25
2024,4,2024-09-27,Turkey,Brazil,25,30
2024,4,2024-09-27,Netherlands,Serbia,40,27
2024,4,2024-09-27,Czech Republic,Poland,25,28
2024,4,2024-09-27,Slovakia,Faroe Islands,24,23
2024,4,2024-09-26,Iceland,Poland,15,26
2024,5,2024-08-23,Japan,South Korea,24,25
2024,5,2024-08-21,Kazakhstan,South Korea,24,45
2024,5,2024-08-21,China,Japan,18,35
2024,5,2024-08-20,Japan,Kazakhstan,50,28
2024,5,2024-08-18,South Korea,China,33,20
2024,5,2024-08-17,China,Kazakhstan,33,26
2024,5,2024-08-10,Norway,France,29,21
2024,5,2024-08-10,Denmark,Sweden,30,25
2024,5,2024-08-08,Norway,Denmark,25,21
2024,5,2024-08-08,Sweden,France,28,31
2024,5,2024-08-06,Norway,Brazil,32,15
2024,5,2024-08-06,Hungary,Sweden,32,36
2024,5,2024-08-06,France,Germany,26,23
2024,5,2024-08-06,Denmark,Netherlands,29,25
2024,5,2024-08-03,Denmark,South Korea,28,20
2024,5,2024-08-03,Norway,Germany,30,18
2024,5,2024-08-03,Slovenia,Sweden,23,27
2024,5,2024-08-03,Brazil,Angola,30,19
2024,5,2024-08-03,Spain,France,24,32
2024,5,2024-08-03,Hungary,Netherlands,26,30
