variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
style_off[40],0.018337355507574336,0.012614184,0.017743133532331177,0.012595757288939998,0.0013129930050000001,0.05496399424999997,0.9992911841894401,1038.3173987273717,396.4378393464753
style_off[41],0.01756195633115625,0.012646021,0.016953929255684074,0.012634940034779999,8.514239050000001e-4,0.053164088349999986,1.0103878192136235,1125.208444238275,521.3265207235287
style_off[42],0.01710365819088125,0.011882351,0.016600205305594945,0.011391401427,9.89293805e-4,0.049441587099999976,1.0003818983504031,1190.5529373457364,485.20145608364794
style_off[43],0.017948412356297874,0.0132251175,0.01709409700849356,0.01280191200351,0.0010902527199999998,0.05239641495,1.0034811956305867,1002.2638185759844,391.5114353366274
style_off[44],0.01733408075662625,0.0118445835,0.017180729213820245,0.01251636576393,0.0013234175,0.050572694399999986,1.0032318477880666,983.5065134878688,513.1112445012012
style_off[45],0.0176539423400425,0.012220019,0.017144272925098108,0.012907299585179999,7.73339906e-4,0.052936928799999984,1.0024542238139107,853.1439925027104,244.21626831173683
style_off[46],0.01680965024023375,0.011750966000000002,0.017118272275292293,0.01213620547797,9.118797765e-4,0.05022563689999996,1.0078049241383553,917.9885329485355,567.7732835099636
style_off[47],0.017614244158682877,0.012430631000000001,0.017594504164723464,0.011493543967920001,0.001280390495,0.052126389399999994,1.0026197277312736,1164.7115040189406,623.3630492398478
style_off[48],0.01741803381494875,0.011942022,0.017736219168750494,0.012158506821299998,9.999737545000002e-4,0.0505035402,0.9979495447476698,1242.9836042130764,445.2527519760759
style_off[49],0.01831051144321625,0.013226132,0.017757825291957793,0.01367207826117,0.001025842165,0.05422480415,1.0041421655516418,1246.2582061010014,667.8473526201544
style_off[50],0.0174193189329275,0.011468267,0.018421895044142638,0.011948372215290002,8.03722467e-4,0.05367278415,1.0030718117143278,847.297886422544,502.076816036996
style_off[51],0.017855671077035,0.012536638999999999,0.017087890521101778,0.01268847286602,0.00124168287,0.053773781300000004,0.9996643610385687,1216.3586135974053,493.07481331075485
style_off[52],0.01651685431921375,0.011406883999999999,0.0160290764499906,0.012111896249459998,0.0010350638100000001,0.047456858199999986,0.9986830534710268,1085.1590368671557,559.2366085456925
style_off[53],0.01835543020998625,0.0122983395,0.017522185886985963,0.01300028425416,8.810304495000001e-4,0.05414014555,0.9969111019543866,759.56381920855,376.20030796720664
style_off[54],0.01745985417246375,0.012808179,0.016769846097675425,0.0125965209762,9.633720105000001e-4,0.05132022909999999,1.005485565649511,1278.254411766861,485.07693019953996
style_off[55],0.017378205988651252,0.012275948,0.016675354285184785,0.01278638169438,0.00119076854,0.05337776045,0.9986112648030626,760.0556997651955,292.2324936686435
style_off[56],0.0178024235723275,0.012488352,0.017029218429872223,0.012876503240369997,9.785636430000003e-4,0.052209383899999975,1.0033008262272165,803.6130165566037,344.9038183041673
style_off[57],0.01733288285315625,0.011982179999999999,0.01632834346357097,0.011501170684709997,0.001587540085,0.050568690499999985,0.9994856443390129,1206.4634367535027,540.7854167793583
style_def[1],0.01687336526108625,0.0119676615,0.016163006445534686,0.01243896722397,8.596733635000003e-4,0.04837516879999999,1.0080074047260974,460.8096313208581,207.9211250408502
style_def[2],0.01783411780252875,0.012640763999999999,0.018391271259164833,0.013203809503499996,9.149758225e-4,0.05386590204999999,0.9998125930929682,954.0722597769587,440.2545802230967
style_def[3],0.0179208935973075,0.012156408,0.017198976488250618,0.012230905515150001,0.0010289048650000002,0.05447972639999998,0.9982142306469992,1115.2909185452831,662.8204291636123
style_def[4],0.01719099309451625,0.012054876999999999,0.01705680813322602,0.012089237599529998,8.693781795e-4,0.04970654609999995,1.001262147905415,696.0199326910551,385.8337777321099
style_def[5],0.016849926223856376,0.0121970785,0.016602710769123074,0.011680364170019997,9.80330579e-4,0.046258742,0.999556445953193,780.2675524849287,290.9629766164918
style_def[6],0.01773127600358825,0.013156635,0.0171760373313443,0.01253962938879,0.0011018474800000002,0.05088154154999998,1.002937705235993,1167.841488001533,527.0996354405959
style_def[7],0.0167854440465425,0.01244817,0.015828164556080025,0.011940559728720001,0.0010343528199999999,0.049027400699999994,1.0028437568586521,747.587227521612,428.34200559338643
style_def[8],0.01717358301160875,0.0118211465,0.01704323904534944,0.01243829286336,7.654804500000001e-4,0.052493139999999994,1.0126182555016305,648.0634306665477,389.3442337440123
style_def[9],0.0176721162546375,0.012332213,0.01664611399155981,0.012370509725699998,0.00115194905,0.05245007269999999,0.9976297625083275,1025.8559202609636,485.10243734661793
style_def[10],0.018285381747627876,0.013179630500000001,0.017456980731328918,0.01280116640397,9.61682422e-4,0.05302073279999994,1.0005309217175544,1315.0200127876283,522.6347796677366
style_def[11],0.01722107318133,0.0123357825,0.016996462055924234,0.011353985569709998,0.0010605278900000003,0.05184765699999999,0.9998214192610386,829.7793164370182,462.6461275071897
style_def[12],0.01754293969901075,0.0120614,0.017073462403223612,0.0123077979696,0.0011415872050000002,0.049877081199999916,1.006684194022589,893.1590478099474,466.17182043345827
style_def[13],0.0172527613742975,0.012339160500000002,0.017916462888638983,0.012721456045830002,0.00105569877,0.05419181804999999,1.0021729941107282,1013.6700749797683,506.2808117166699
style_def[14],0.01774390853038375,0.012579449999999999,0.016550835772047755,0.012468973861889998,0.001469423055,0.04652538689999999,0.9985686169583016,2112.89657046694,601.4172400996522
style_def[15],0.0180677299935625,0.012641017000000001,0.017265336217917666,0.013030010903070002,0.00115880991,0.05419395854999997,1.0030778818986272,1120.8032602273563,594.0174043315911
style_def[16],0.017294026757686876,0.012069859499999998,0.017602166485092538,0.012570749681700001,5.790649895000002e-4,0.0519738473,1.0123550550894405,948.7195777353992,396.2352275267192
style_def[17],0.017673238390915,0.012498258500000001,0.016217585849710697,0.012127232337990002,9.421277010000002e-4,0.05219073374999999,0.9991488946015543,952.4740862682451,521.5226240969995
style_def[18],0.016729500707242873,0.011482041,0.016688615119228332,0.012017010071849998,8.095774250000002e-4,0.05302870269999997,0.9999978677842928,885.4223255302005,566.8012224335076
style_def[19],0.0180103309813725,0.012778359,0.01737843262567359,0.01298213878689,0.0010726319399999998,0.05185856444999999,0.9992907157318204,806.5697808504619,485.3007208049475
style_def[20],0.0173671418884425,0.0122738115,0.016886684937815637,0.01233399521508,9.256732755e-4,0.052391013549999955,1.0017155000583207,710.8184178607764,443.65396717135303
style_def[21],0.01822313755941375,0.0112739275,0.019275570926305385,0.0124284734553,8.053115875e-4,0.05910255889999999,1.0019387399649384,673.9254453158214,349.76163277295916
style_def[22],0.01814993710632,0.014158205,0.016195834027205848,0.0132322976625,0.0015193876800000002,0.05046411319999998,1.0016011426313365,1306.651990389384,404.1943359076792
style_def[23],0.017502978343898,0.012507208,0.017463645640494126,0.01194868660062,7.687526055e-4,0.056941936549999995,0.9990365218436351,1062.5183808951083,330.5439245297092
style_def[24],0.017955001282075,0.01219831,0.018331338833146155,0.013524509449290002,6.66235994e-4,0.05512672285,1.00754433949011,1178.8773053033356,508.66386029594656
style_def[25],0.0175530749846075,0.013363266,0.016016371586283513,0.01265959144737,0.001144022015,0.05021267844999998,1.0007739982027757,981.5729424361973,535.9428819165893
style_def[26],0.0171993949014275,0.011415669,0.01733307684655744,0.012437429471249997,7.21477307e-4,0.05392159709999999,1.0005809233636547,1257.0325072066996,412.4842859815704
style_def[27],0.01751797077398,0.012447036,0.017604352090409406,0.01321110448854,6.88287993e-4,0.05457012369999999,0.9981023334239024,797.4937815271611,433.78581836523466
style_def[28],0.017646768305325,0.012336889,0.017583340470482642,0.012605320281329999,8.77473785e-4,0.05245954724999998,0.9981114142716848,757.4006119319322,287.58005366068187
style_def[29],0.01726856399154125,0.013259089,0.015388848800107952,0.01280255975145,0.0011417745700000002,0.048376731499999985,1.0002098668300823,1018.4640236727112,659.9921169811743
style_def[30],0.017221893200245,0.012718218,0.015834065899847545,0.012503717555069998,0.00107542513,0.0498184786,0.9996566507454877,1572.8313990214147,607.773761771959
style_def[31],0.01686957409311,0.012240679,0.01671113593892519,0.012285124567800001,9.134352935e-4,0.05014165699999998,1.0031620958438952,1058.5673753984256,445.8772367963641
style_def[32],0.01733997761007625,0.012013587,0.017728698220219122,0.012597108752969998,9.226814625000001e-4,0.051146562699999995,1.0007644149700397,996.1380043122575,272.13703597139937
style_def[33],0.017509329784106874,0.01248634,0.016846713827334867,0.01363750566003,7.523914825000001e-4,0.05024016,1.0031474057217538,779.4420390801771,355.7246514345605
style_def[34],0.01720085090649625,0.012343828,0.017010042938128793,0.01237222791084,0.0010444477850000001,0.054374384549999995,0.999427944769564,1306.8423979479405,616.4919788408374
style_def[35],0.0175373567079775,0.012992501,0.016730405377522566,0.013008672804959999,9.041559840000002e-4,0.04833863124999999,1.0103243357694958,982.3554945682882,444.9745151665836
style_def[36],0.0181204183271475,0.0136635695,0.01623704621109052,0.01307080241817,8.48887572e-4,0.04918650489999997,1.0052254945352863,755.2169092955573,499.9879491115994
style_def[37],0.01734839969491,0.01151587,0.018616567884386034,0.012072920993489998,5.05632735e-4,0.05609481599999995,1.0021157563943492,1018.8825468481879,381.61169168434765
style_def[38],0.0179738226026525,0.013118478,0.017967809090820196,0.01309259204211,9.618335975e-4,0.05246435504999999,1.0002462351798351,773.999182492994,426.73532584789086
style_def[39],0.01690589888898,0.011799980500000001,0.016449871020245102,0.012099026317770002,9.856396055000001e-4,0.048032653749999994,0.9999208266284239,689.9439060989573,473.8242078312698
style_def[40],0.01804052648360775,0.0118266575,0.0184494065414789,0.0127448973603,7.94245726e-4,0.05118822975,1.000670219973899,804.9969596855357,333.9685434062102
style_def[41],0.01791393567547375,0.012294872,0.01737910908100218,0.012627320508599998,9.258067955000001e-4,0.05703216494999997,1.0074206680177735,942.6398318922768,458.68862099382545
style_def[42],0.01770026151874625,0.01266733,0.016956394910290412,0.012843521913809998,0.0011652963750000001,0.052038329299999984,1.0060394503625676,1007.8948604324864,646.0301379591534
style_def[43],0.018401869584375,0.012926488,0.018010681265318993,0.013301339972339999,0.0010568489,0.05876007539999998,1.0003227680856388,1595.853297803618,428.2531545726913
style_def[44],0.01758841982090625,0.012764287999999999,0.016523767391055114,0.011515871405009998,0.00109672325,0.05151753429999997,1.0055725850642705,909.9893085329335,420.0895390028652
style_def[45],0.01687566460397875,0.012134679999999998,0.01570684382589746,0.011906130643259996,9.874475385e-4,0.051183688699999993,1.0052482529572617,1105.9489661340913,481.7043888514422
style_def[46],0.01695719060104,0.012268417,0.016444717265635633,0.01249146749844,0.0011370410000000003,0.0515397625,1.0040758176287943,926.5964671445914,563.6217382334921
style_def[47],0.017460485173609624,0.0121899965,0.01674038334056269,0.012669490174529997,9.407588995e-4,0.04914638634999997,1.0061704050047207,917.2223081548622,296.09556254460733
style_def[48],0.017300407355053376,0.012079257999999999,0.0171156590630985,0.01274327294961,6.404587425000001e-4,0.0501819661,0.9990944100936638,677.0713103777667,265.90794219328427
style_def[49],0.0178383865549925,0.012561063,0.018365991817298193,0.013335013228320002,7.732437384999999e-4,0.05815473734999996,1.0065242623829282,727.0258589625394,487.6746220821501
style_def[50],0.017426589751060876,0.011072766500000001,0.018367030534720673,0.012450035648399997,6.752063565000001e-4,0.05199616034999994,1.0019404105396372,1146.0407944541957,509.2847129118552
style_def[51],0.01808286547145425,0.0123237995,0.01779895823439971,0.013293319032209998,8.56132087e-4,0.050273972999999944,1.0080543819976577,1081.6442173391226,389.7519135107724
style_def[52],0.017918625297073748,0.012308076500000001,0.01802169862481229,0.012729973360440003,0.001006372651,0.05526904165,0.99883541921738,1086.6528670015675,472.1967409167379
style_def[53],0.017603247644242877,0.011946842999999999,0.018114098740105583,0.012836458585019996,9.206940475e-4,0.05551323085,1.0015045342621762,1103.7419395238949,553.937768782395
style_def[54],0.01733603746367875,0.012520861,0.016821128932533302,0.012155511228000002,9.042498860000001e-4,0.05089818064999999,1.0091205373552246,680.6108361144658,457.74426112556824
style_def[55],0.01785721676750375,0.011548647499999998,0.01821447654277484,0.012501247691730001,7.86635099e-4,0.05434245479999999,1.0077826519661628,753.9110646687892,384.3320696030885
style_def[56],0.017841005529173073,0.0129615025,0.017179943285173683,0.013309050826679998,7.919489155e-4,0.05250329485,1.0053936754089106,739.026524264075,276.0035498862934
style_def[57],0.0175931671315625,0.0119978115,0.017783721577211562,0.012200428448250002,9.715026180000001e-4,0.053532711499999996,1.0034661693333202,1236.818024822054,504.55471389243513
style_scale,0.10022803360314875,0.065034432,0.1011201709333297,0.0686129466561,0.004850110335000001,0.30098611499999994,1.003834018320253,776.2825431319368,321.4634531932653
