season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2016,5,2016-08-16,Russia,Angola,31,27,135,0,0
2016,5,2016-08-16,Sweden,Norway,20,33,136,0,0
2016,5,2016-08-16,Spain,France,26,27,137,0,0
2016,5,2016-08-16,Brazil,Netherlands,23,32,138,0,0
2016,5,2016-08-18,Norway,Russia,37,38,139,0,0
2016,5,2016-08-18,Netherlands,France,23,24,140,0,0
2016,5,2016-08-20,France,Russia,19,22,141,0,0
2016,5,2016-08-20,Netherlands,Norway,26,36,142,0,0
2016,4,2016-10-05,Slovenia,Czech Republic,27,30,143,0,0
2016,4,2016-10-06,Romania,Serbia,19,23,144,0,0
2016,4,2016-10-06,Slovenia,Czech Republic,33,28,145,0,0
2016,4,2016-10-07,Germany,Spain,32,18,146,0,0
2016,4,2016-10-07,Netherlands,Serbia,31,29,147,0,0
2016,4,2016-10-07,Poland,Slovakia,28,18,148,0,0
2016,4,2016-10-07,Croatia,Austria,36,28,149,0,0
2016,4,2016-10-07,Iceland,Sweden,23,33,150,0,0
2016,4,2016-10-08,Hungary,Slovenia,32,22,151,0,0
2016,4,2016-10-08,Austria,Croatia,26,25,152,0,0
2016,4,2016-10-08,Netherlands,Romania,23,24,153,0,0
2016,4,2016-10-08,Sweden,Poland,31,27,154,0,0
2016,4,2016-10-08,Iceland,Slovakia,26,25,155,0,0
2016,4,2016-10-09,Germany,Spain,24,27,156,0,0
2016,4,2016-11-22,Belarus,Lithuania,31,25,157,0,0
2016,4,2016-11-24,Czech Republic,Austria,26,25,158,0,0
2016,4,2016-11-25,Spain,Argentina,35,15,159,0,0
2016,4,2016-11-25,Croatia,Montenegro,28,20,160,0,0
2016,4,2016-11-25,Poland,Japan,32,17,161,0,0
2016,4,2016-11-25,Czech Republic,Serbia,28,30,162,0,0
2016,4,2016-11-26,Spain,Japan,33,21,163,0,0
2016,4,2016-11-26,Argentina,Poland,28,31,164,0,0
2016,4,2016-11-26,Germany,Sweden,24,24,165,0,0
2016,4,2016-11-26,Slovenia,Switzerland,32,25,166,0,0
2016,4,2016-11-26,Serbia,Austria,31,28,167,0,0
2016,4,2016-11-27,Romania,Hungary,24,29,168,0,0
2016,4,2016-11-27,Germany,Sweden,28,28,169,0,0
2016,4,2016-11-27,Spain,Poland,22,18,170,0,0
2016,4,2016-11-27,Japan,Argentina,23,19,171,0,0
2016,4,2016-11-27,Slovenia,Switzerland,36,29,172,0,0
2016,4,2016-11-30,Croatia,Japan,29,26,173,0,0
2016,4,2016-11-30,Sweden,France,21,27,174,0,0
2016,4,2016-12-01,Brazil,Cuba,51,9,175,0,0
2016,4,2016-12-01,Uruguay,Slovakia,15,29,176,0,0
2016,4,2016-12-02,Brazil,Uruguay,30,11,177,0,0
2016,4,2016-12-02,Slovakia,Cuba,38,11,178,0,0
2016,4,2016-12-03,Cuba,Uruguay,16,44,179,0,0
2016,4,2016-12-03,Brazil,Slovakia,21,21,180,0,0
2017,4,2017-03-15,Montenegro,Slovenia,29,22,181,0,0
2017,4,2017-03-16,Austria,Czech Republic,30,28,182,0,0
2017,4,2017-03-17,Netherlands,Iceland,23,20,183,0,0
2017,4,2017-03-17,North Macedonia,Serbia,29,35,184,0,0
2017,4,2017-03-17,Belarus,Poland,24,23,185,0,0
2017,4,2017-03-17,Hungary,Croatia,34,19,186,0,0
2017,4,2017-03-17,Romania,Spain,21,24,187,0,0
2017,4,2017-03-17,Slovakia,Ukraine,28,25,188,0,0
2017,4,2017-03-17,Turkey,Lithuania,43,15,189,0,0
2017,4,2017-03-17,Montenegro,Slovenia,19,20,190,0,0
2017,4,2017-03-18,Ukraine,Poland,17,26,191,0,0
2017,4,2017-03-18,Slovakia,Belarus,22,27,192,0,0
2017,4,2017-03-18,Sweden,Germany,33,28,193,0,0
2017,4,2017-03-18,Netherlands,Iceland,38,18,194,0,0
2017,4,2017-03-18,North Macedonia,Serbia,27,43,195,0,0
2017,4,2017-03-18,Czech Republic,Austria,35,26,196,0,0
2017,4,2017-03-18,Turkey,Lithuania,30,23,197,0,0
2017,4,2017-03-19,Romania,Spain,21,20,198,0,0
2017,4,2017-03-19,Germany,Sweden,23,24,199,0,0
2017,4,2017-03-19,Poland,Slovakia,29,25,200,0,0
2017,4,2017-03-19,Belarus,Ukraine,24,23,201,0,0
2017,4,2017-05-31,Serbia,Montenegro,31,31,202,0,0
2017,4,2017-06-01,Israel,Greece,23,27,203,0,0
2017,4,2017-06-01,Turkey,Lithuania,26,27,204,0,0
2017,4,2017-06-01,Russia,North Macedonia,35,29,205,0,0
2017,4,2017-06-01,Serbia,Montenegro,31,24,206,0,0
2017,4,2017-06-02,North Macedonia,Lithuania,31,24,207,0,0
2017,4,2017-06-02,Turkey,Russia,32,34,208,0,0
2017,4,2017-06-03,Israel,Greece,26,28,209,0,0
2017,4,2017-06-03,Russia,Lithuania,30,12,210,0,0
2017,4,2017-06-03,Belarus,Ukraine,34,31,211,0,0
2017,4,2017-06-03,Turkey,North Macedonia,38,29,212,0,0
2017,4,2017-06-04,Belarus,Ukraine,32,24,213,0,0
2017,4,2017-06-07,Croatia,Sweden,28,35,214,0,0
2017,4,2017-06-08,Denmark,Germany,17,22,215,0,0
2018,3,2017-06-10,Faroe Islands,Greece,25,24,216,0,0
2018,3,2017-06-11,Israel,Kosovo,25,32,217,0,0
2017,4,2017-06-11,Brazil,Portugal,35,29,218,0,0
2017,4,2017-06-13,Brazil,Portugal,38,25,219,0,0
2017,4,2017-06-15,Norway,France,24,21,220,0,0
2017,4,2017-06-16,Croatia,Serbia,28,21,221,0,0
2017,4,2017-06-17,Norway,France,23,22,222,0,0
2017,4,2017-09-22,Turkey,North Macedonia,30,26,223,0,0
2017,4,2017-09-23,Russia,South Korea,49,40,224,0,0
2017,4,2017-09-24,Italy,North Macedonia,24,29,225,0,0
2018,3,2017-09-27,Denmark,Slovenia,28,22,226,0,0
2018,3,2017-09-27,Czech Republic,Iceland,30,23,227,0,0
2018,3,2017-09-27,Germany,Lithuania,26,26,228,0,0
2018,3,2017-09-27,Spain,Turkey,35,16,229,0,0
2018,3,2017-09-27,Netherlands,Belarus,33,21,230,0,0
2018,3,2017-09-27,Norway,Ukraine,35,22,231,0,0
