season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2015,2,2015-12-29,Montenegro,Algeria,22,24,92,1,1,1,1,6,7,0,38,1
2015,2,2015-12-29,Iran,Ukraine,25,21,93,1,1,1,1,5,2,0,27,57
2015,2,2015-12-30,Luxembourg,Lithuania,28,32,94,1,1,7,100,1,2,1,36,35
2016,2,2016-01-02,Switzerland,Portugal,33,31,95,1,1,56,7,10,1,1,53,43
2016,2,2016-01-02,Tunisia,Austria,34,29,96,1,1,56,100,7,4,1,54,3
2016,2,2016-01-03,Switzerland,Tunisia,29,37,97,1,1,1,1,11,8,0,53,54
2016,2,2016-01-03,Austria,Portugal,34,30,98,1,1,1,1,5,2,0,3,43
2016,2,2016-01-04,Sweden,Czech Republic,34,28,99,1,1,57,6,8,5,1,52,13
2016,2,2016-01-04,Slovenia,North Macedonia,28,28,100,1,1,57,58,7,5,1,50,40
2016,2,2016-01-05,Germany,Tunisia,37,30,101,1,1,58,2,9,9,1,21,54
2016,2,2016-01-05,Slovenia,North Macedonia,23,23,102,1,1,1,1,8,6,0,50,40
2016,2,2016-01-05,Sweden,Czech Republic,29,27,103,1,1,1,1,9,6,0,52,13
2016,2,2016-01-06,Iceland,Portugal,28,32,104,1,1,100,3,6,3,1,26,43
2016,2,2016-01-07,Iceland,Portugal,26,25,105,1,1,1,1,7,4,0,26,43
2016,2,2016-01-08,Spain,Sweden,32,22,106,1,1,61,3,6,10,1,51,52
2016,2,2016-01-08,Croatia,Slovenia,31,30,107,1,1,61,3,5,9,1,11,50
2016,2,2016-01-08,Poland,Brazil,27,23,108,1,1,10,61,12,7,1,42,8
2016,2,2016-01-08,Russia,Netherlands,35,28,109,1,1,11,7,7,1,1,46,39
2016,2,2016-01-08,Argentina,Belarus,29,28,110,1,1,61,11,5,9,1,2,5
2016,2,2016-01-09,Spain,Brazil,37,30,111,1,1,1,1,7,8,0,51,8
2016,2,2016-01-09,Serbia,Hungary,24,22,112,1,1,11,62,9,8,1,48,25
2016,2,2016-01-09,Slovenia,Croatia,32,17,113,1,1,1,1,10,6,0,50,11
2016,2,2016-01-09,Sweden,Poland,26,28,114,1,1,1,1,11,13,0,52,42
2016,2,2016-01-09,Germany,Iceland,26,25,115,1,1,4,2,10,8,0,21,26
2016,2,2016-01-09,Russia,Argentina,30,24,116,1,1,1,1,8,6,0,46,2
2016,2,2016-01-09,Belarus,Netherlands,34,34,117,1,1,1,1,10,2,0,5,39
2016,2,2016-01-10,North Macedonia,Montenegro,35,28,118,1,1,5,12,7,7,0,40,38
2016,2,2016-01-10,Hungary,Serbia,25,25,119,1,1,1,1,9,10,0,25,48
2016,2,2016-01-10,Germany,Iceland,24,27,120,1,1,1,1,11,9,0,21,26
2016,2,2016-01-10,Russia,Belarus,28,28,121,1,1,1,1,9,11,0,46,5
2016,2,2016-01-10,Spain,Poland,26,12,122,1,1,1,1,8,14,0,51,42
2016,2,2016-01-10,Argentina,Netherlands,17,28,123,1,1,1,1,7,3,0,2,39
2016,2,2016-01-10,Brazil,Sweden,28,25,124,1,1,1,1,9,12,0,8,52
2016,2,2016-01-11,North Macedonia,Montenegro,29,26,125,1,1,1,1,8,8,0,40,38
2016,1,2016-01-15,Poland,Serbia,29,28,126,0,0,5,5,15,11,0,42,48
2016,1,2016-01-15,Iceland,Norway,26,25,127,0,0,5,100,10,6,0,26,41
2016,1,2016-01-15,France,North Macedonia,30,23,128,0,0,100,4,4,9,1,19,40
2016,1,2016-01-15,Croatia,Belarus,27,21,129,0,0,6,5,7,12,0,11,5
2016,1,2016-01-16,Sweden,Slovenia,23,21,130,0,0,6,7,13,11,0,52,50
2016,1,2016-01-16,Denmark,Russia,31,25,131,0,0,100,6,6,10,1,14,46
2016,1,2016-01-16,Spain,Germany,32,29,132,0,0,6,6,9,12,0,51,21
2016,1,2016-01-16,Hungary,Montenegro,32,27,133,0,0,6,5,10,9,0,25,38
2016,1,2016-01-17,North Macedonia,Poland,23,24,134,0,0,2,2,10,16,0,40,42
2016,1,2016-01-17,Norway,Croatia,34,31,135,0,0,2,2,7,8,0,41,11
2016,1,2016-01-17,Serbia,France,26,36,136,0,0,2,2,12,5,0,48,19
2016,1,2016-01-17,Belarus,Iceland,39,38,137,0,0,2,2,13,11,0,5,26
2016,1,2016-01-18,Germany,Sweden,27,26,138,0,0,2,2,13,14,0,21,52
2016,1,2016-01-18,Montenegro,Denmark,28,30,139,0,0,2,2,10,7,0,38,14
2016,1,2016-01-18,Slovenia,Spain,24,24,140,0,0,2,2,12,10,0,50,51
2016,1,2016-01-18,Russia,Hungary,27,26,141,0,0,2,2,11,11,0,46,25
2016,1,2016-01-19,Croatia,Iceland,37,28,142,0,0,2,2,9,12,0,11,26
2016,1,2016-01-19,France,Poland,25,31,143,0,0,2,2,6,17,0,19,42
2016,1,2016-01-19,Belarus,Norway,27,29,144,0,0,2,2,14,8,0,5,41
2016,1,2016-01-19,North Macedonia,Serbia,27,27,145,0,0,2,2,11,13,0,40,48
2016,1,2016-01-20,Denmark,Hungary,30,22,146,0,0,2,2,8,12,0,14,25
2016,1,2016-01-20,Spain,Sweden,24,22,147,0,0,2,2,11,15,0,51,52
2016,1,2016-01-20,Germany,Slovenia,25,21,148,0,0,2,2,14,13,0,21,50
2016,1,2016-01-20,Russia,Montenegro,28,21,149,0,0,2,2,12,11,0,46,38
2016,1,2016-01-21,North Macedonia,Croatia,24,34,150,0,0,2,2,12,10,0,40,11
2016,1,2016-01-21,France,Belarus,34,23,151,0,0,2,2,7,15,0,19,5
2016,1,2016-01-22,Sweden,Russia,28,28,152,0,0,2,2,16,13,0,52,46
2016,1,2016-01-22,Germany,Hungary,29,19,153,0,0,2,2,15,13,0,21,25
2016,1,2016-01-23,Poland,Norway,28,30,154,0,0,4,4,18,9,0,42,41
2016,1,2016-01-23,France,Croatia,32,24,155,0,0,2,2,8,11,0,19,11
2016,1,2016-01-24,Spain,Denmark,23,27,156,0,0,4,4,12,9,0,51,14
2016,1,2016-01-24,Germany,Russia,30,29,157,0,0,2,2,16,14,0,21,46
2016,1,2016-01-25,Poland,Belarus,32,27,158,0,0,2,4,19,16,0,42,5
2016,1,2016-01-25,North Macedonia,Norway,31,31,159,0,0,4,2,13,10,0,40,41
2016,1,2016-01-26,Sweden,Denmark,28,28,160,0,0,4,2,17,10,0,52,14
2016,1,2016-01-26,Spain,Hungary,31,29,161,0,0,2,4,13,14,0,51,25
2016,1,2016-01-27,Poland,Croatia,23,37,162,0,0,2,4,20,12,0,42,11
2016,1,2016-01-27,Spain,Russia,25,23,163,0,0,1,3,14,15,0,51,46
2016,1,2016-01-27,France,Norway,24,29,164,0,0,4,2,9,11,0,19,41
2016,1,2016-01-27,Germany,Denmark,25,23,165,0,0,3,1,17,11,0,21,14
2016,1,2016-01-27,North Macedonia,Belarus,29,30,166,0,0,2,2,14,17,0,40,5
2016,1,2016-01-27,Sweden,Hungary,22,14,167,0,0,1,1,18,15,0,52,25
