season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2016,5,2016-08-07,Sweden,Argentina,31,21,112,1,0,4,5,12,4,0,54,2
2016,5,2016-08-08,Argentina,Netherlands,18,26,113,1,0,1,2,5,14,0,2,40
2016,5,2016-08-08,Brazil,Romania,26,13,114,1,0,2,2,15,15,0,8,46
2016,5,2016-08-08,Spain,Norway,24,27,115,1,0,2,2,13,12,0,53,42
2016,5,2016-08-08,France,Russia,25,26,116,1,0,2,2,11,8,0,22,47
2016,5,2016-08-08,South Korea,Sweden,28,31,117,1,0,2,1,9,13,0,52,54
2016,5,2016-08-09,Angola,Montenegro,27,25,118,1,0,3,3,5,10,0,1,39
2016,5,2016-08-10,Netherlands,South Korea,32,32,119,1,0,2,2,15,10,0,40,52
2016,5,2016-08-10,Norway,Angola,30,20,120,1,0,2,1,13,6,0,42,1
2016,5,2016-08-10,Russia,Sweden,36,34,121,1,0,2,2,9,14,0,47,54
2016,5,2016-08-10,Romania,Montenegro,25,21,122,1,0,2,1,16,11,0,46,39
2016,5,2016-08-10,Brazil,Spain,24,29,123,1,0,2,2,16,14,0,8,53
2016,5,2016-08-11,France,Argentina,27,11,124,1,0,3,3,12,6,0,22,2
2016,5,2016-08-12,Russia,Argentina,35,29,125,1,0,2,1,10,7,0,47,2
2016,5,2016-08-12,Montenegro,Norway,19,28,126,1,0,2,2,12,14,0,39,42
2016,5,2016-08-12,Romania,Spain,24,21,127,1,0,2,2,17,15,0,46,53
2016,5,2016-08-12,Sweden,Netherlands,29,29,128,1,0,2,2,15,16,0,54,40
2016,5,2016-08-12,Angola,Brazil,24,28,129,1,0,2,2,7,17,0,1,8
2016,5,2016-08-13,South Korea,France,17,21,130,1,0,3,2,11,13,0,52,22
2016,5,2016-08-14,Spain,Angola,26,22,131,1,0,2,2,16,8,0,53,1
2016,5,2016-08-14,Norway,Romania,28,27,132,1,0,2,2,15,18,0,42,46
2016,5,2016-08-14,Netherlands,Russia,34,38,133,1,0,2,2,17,11,0,40,47
2016,5,2016-08-14,Sweden,France,25,27,134,1,0,2,1,16,14,0,54,22
2016,5,2016-08-14,Montenegro,Brazil,23,29,135,1,0,2,2,13,18,0,39,8
2016,5,2016-08-15,Argentina,South Korea,22,28,136,1,0,3,2,8,12,0,2,52
2016,5,2016-08-16,Russia,Angola,31,27,137,1,0,2,2,12,9,0,47,1
2016,5,2016-08-16,Sweden,Norway,20,33,138,1,0,2,2,17,16,0,54,42
2016,5,2016-08-16,Spain,France,26,27,139,1,0,2,2,17,15,0,53,22
2016,5,2016-08-16,Brazil,Netherlands,23,32,140,1,0,2,2,19,18,0,8,40
2016,5,2016-08-18,Norway,Russia,37,38,141,1,0,2,2,17,13,0,42,47
2016,5,2016-08-18,Netherlands,France,23,24,142,1,0,2,2,19,16,0,40,22
2016,5,2016-08-20,France,Russia,19,22,143,1,0,2,2,17,14,0,22,47
2016,5,2016-08-20,Netherlands,Norway,26,36,144,1,0,2,2,20,18,0,40,42
2016,4,2016-10-05,Slovenia,Czech Republic,27,30,145,0,1,100,100,6,7,0,51,15
2016,4,2016-10-06,Romania,Serbia,19,23,146,0,1,53,100,19,5,0,46,49
2016,4,2016-10-06,Slovenia,Czech Republic,33,28,147,0,1,1,1,7,8,0,51,15
2016,4,2016-10-07,Germany,Spain,32,18,148,0,1,100,52,10,18,0,23,53
2016,4,2016-10-07,Netherlands,Serbia,31,29,149,0,1,48,1,21,6,0,40,49
2016,4,2016-10-07,Poland,Slovakia,28,18,150,0,1,100,100,6,11,0,44,50
2016,4,2016-10-07,Croatia,Austria,36,28,151,0,1,100,100,3,7,1,13,3
2016,4,2016-10-07,Iceland,Sweden,23,33,152,0,1,100,52,4,18,1,28,54
2016,4,2016-10-08,Hungary,Slovenia,32,22,153,0,1,100,2,4,8,1,27,51
2016,4,2016-10-08,Austria,Croatia,26,25,154,0,1,1,1,8,4,0,3,13
