season,division,date,home,away,home_goals,away_goals
2025,4,2025-01-28,Kuwait,Japan,37,32
2025,4,2025-01-28,Algeria,Bahrain,26,29
2025,4,2025-01-28,Guinea,Cuba,33,31
2025,4,2025-01-26,Croatia,Slovenia,29,26
2025,4,2025-01-26,Norway,Sweden,29,24
2025,4,2025-01-26,Cape Verde,Egypt,24,31
2025,4,2025-01-26,Spain,Brazil,25,26
2025,4,2025-01-26,Bahrain,USA,28,30
2025,4,2025-01-26,Iceland,Argentina,30,21
2025,4,2025-01-26,Portugal,Chile,46,28
2025,4,2025-01-26,Japan,Cuba,32,23
2025,4,2025-01-25,France,North Macedonia,32,25
2025,4,2025-01-25,Germany,Tunisia,31,19
2025,4,2025-01-25,Czech Republic,Denmark,22,28
2025,4,2025-01-25,Qatar,Hungary,23,29
2025,4,2025-01-25,Guinea,Poland,28,40
2025,4,2025-01-25,Italy,Switzerland,25,33
2025,4,2025-01-25,Netherlands,Austria,37,37
2025,4,2025-01-25,Algeria,Kuwait,31,38
2025,4,2025-01-24,Chile,Norway,22,39
2025,4,2025-01-24,Croatia,Iceland,32,26
2025,4,2025-01-24,Egypt,Slovenia,26,25
2025,4,2025-01-24,Sweden,Brazil,24,27
2025,4,2025-01-24,USA,Cuba,27,26
2025,4,2025-01-24,Argentina,Cape Verde,30,26
2025,4,2025-01-24,Spain,Portugal,29,35
2025,4,2025-01-24,Japan,Bahrain,31,27
2025,4,2025-01-23,Denmark,Switzerland,39,28
2025,4,2025-01-23,Hungary,Austria,29,26
2025,4,2025-01-23,Italy,Germany,27,34
2025,4,2025-01-23,Netherlands,France,28,35
2025,4,2025-01-23,Poland,Kuwait,42,32
2025,4,2025-01-23,North Macedonia,Qatar,39,34
2025,4,2025-01-23,Tunisia,Czech Republic,26,32
2025,4,2025-01-23,Algeria,Guinea,32,23
2025,4,2025-01-22,Egypt,Iceland,24,27
2025,4,2025-01-22,Norway,Spain,25,24
2025,4,2025-01-22,Cape Verde,Croatia,24,44
2025,4,2025-01-22,Sweden,Portugal,37,37
2025,4,2025-01-22,USA,Japan,27,25
2025,4,2025-01-22,Brazil,Chile,28,24
2025,4,2025-01-22,Slovenia,Argentina,34,23
2025,4,2025-01-22,Cuba,Bahrain,26,39
2025,4,2025-01-21,Hungary,France,30,37
2025,4,2025-01-21,Denmark,Germany,40,30
2025,4,2025-01-21,Czech Republic,Italy,18,25
2025,4,2025-01-21,Qatar,Netherlands,37,38
2025,4,2025-01-21,Poland,Algeria,38,32
2025,4,2025-01-21,Austria,North Macedonia,29,29
2025,4,2025-01-21,Switzerland,Tunisia,37,26
2025,4,2025-01-21,Kuwait,Guinea,26,24
2025,4,2025-01-20,Slovenia,Iceland,18,23
2025,4,2025-01-20,Sweden,Spain,29,29
2025,4,2025-01-20,Cuba,Cape Verde,28,38
2025,4,2025-01-20,Japan,Chile,26,31
2025,4,2025-01-19,Egypt,Croatia,28,24
2025,4,2025-01-19,Hungary,Netherlands,36,32
2025,4,2025-01-19,Norway,Portugal,28,31
2025,4,2025-01-19,Argentina,Bahrain,26,25
2025,4,2025-01-19,Brazil,USA,31,24
2025,4,2025-01-19,Germany,Czech Republic,29,22
2025,4,2025-01-19,North Macedonia,Guinea,29,20
2025,4,2025-01-19,Poland,Switzerland,28,30
2025,4,2025-01-18,Chile,Sweden,30,42
2025,4,2025-01-18,Denmark,Italy,39,20
2025,4,2025-01-18,Iceland,Cuba,40,19
2025,4,2025-01-18,Qatar,Kuwait,25,22
2025,4,2025-01-18,Algeria,Tunisia,25,26
2025,4,2025-01-18,Cape Verde,Slovenia,24,36
2025,4,2025-01-18,France,Austria,35,27
2025,4,2025-01-18,Spain,Japan,39,20
2025,4,2025-01-18,Israel,Luxembourg,35,27
2025,4,2025-01-17,Croatia,Argentina,33,18
2025,4,2025-01-17,Guinea,Hungary,18,35
2025,4,2025-01-17,Switzerland,Germany,29,31
2025,4,2025-01-17,USA,Norway,17,33
2025,4,2025-01-17,Bahrain,Egypt,24,35
2025,4,2025-01-17,Czech Republic,Poland,19,19
2025,4,2025-01-17,Netherlands,North Macedonia,37,32
2025,4,2025-01-17,Portugal,Brazil,30,26
2025,4,2025-01-17,Luxembourg,Israel,31,28
2025,4,2025-01-16,Austria,Qatar,28,26
2025,4,2025-01-16,Iceland,Cape Verde,34,21
2025,4,2025-01-16,Sweden,Japan,39,21
2025,4,2025-01-16,Tunisia,Denmark,21,32
2025,4,2025-01-16,Italy,Algeria,32,23
2025,4,2025-01-16,Kuwait,France,19,43
2025,4,2025-01-16,Slovenia,Cuba,41,19
2025,4,2025-01-16,Spain,Chile,31,22
2025,4,2025-01-15,Croatia,Bahrain,36,22
2025,4,2025-01-15,Germany,Poland,35,28
2025,4,2025-01-15,Hungary,North Macedonia,27,27
2025,4,2025-01-15,Norway,Brazil,26,29
2025,4,2025-01-15,Czech Republic,Switzerland,17,17
2025,4,2025-01-15,Egypt,Argentina,39,25
2025,4,2025-01-15,Netherlands,Guinea,40,23
2025,4,2025-01-15,Portugal,USA,30,21
2025,4,2025-01-14,Austria,Kuwait,37,26
2025,4,2025-01-14,Denmark,Algeria,47,22
2025,4,2025-01-14,France,Qatar,37,19
2025,4,2025-01-14,Italy,Tunisia,32,25
2025,2,2025-01-11,Spain,Norway,33,31
2025,2,2025-01-11,Argentina,Romania,30,31
2025,2,2025-01-11,Slovakia,Egypt,24,39
2025,2,2025-01-11,Germany,Brazil,28,26
2025,2,2025-01-11,Sweden,Iceland,26,24
2025,2,2025-01-10,France,Portugal,44,38
2025,2,2025-01-10,Poland,Tunisia,33,24
2025,2,2025-01-10,Croatia,Slovenia,33,25
2025,2,2025-01-10,Spain,Slovakia,34,30
2025,2,2025-01-10,Hungary,Serbia,28,23
2025,2,2025-01-10,Romania,Egypt,30,33
2025,2,2025-01-10,Austria,Japan,27,28
2025,2,2025-01-10,Denmark,Bahrain,39,20
2025,2,2025-01-09,Denmark,Bahrain,33,17
2025,2,2025-01-09,Poland,Japan,30,29
2025,2,2025-01-09,Portugal,Czech Republic,32,31
2025,2,2025-01-09,Slovakia,Argentina,26,30
2025,2,2025-01-09,Sweden,Iceland,31,31
2025,2,2025-01-09,Germany,Brazil,32,25
2025,2,2025-01-09,Norway,Romania,37,26
2025,2,2025-01-09,Austria,Tunisia,32,30
2025,2,2025-01-08,Poland,Austria,31,19
2025,2,2025-01-08,Croatia,North Macedonia,27,25
2025,2,2025-01-08,Spain,Argentina,32,18
2025,2,2025-01-08,France,Czech Republic,37,28
2025,2,2025-01-08,Egypt,Norway,29,33
2025,2,2025-01-08,Japan,Tunisia,34,33
2025,2,2025-01-08,Serbia,Hungary,31,31
2025,2,2025-01-07,Slovenia,Qatar,38,30
2025,2,2025-01-05,Switzerland,Netherlands,34,33
2025,2,2025-01-05,Romania,Georgia,34,35
2025,2,2025-01-05,Italy,Kosovo,28,25
2025,2,2025-01-05,Turkey,Serbia,30,35
2025,2,2025-01-04,Switzerland,Kosovo,34,24
2025,2,2025-01-04,Romania,Serbia,31,31
2025,2,2025-01-04,Netherlands,Italy,31,26
2025,2,2025-01-04,Georgia,Turkey,32,27
2025,2,2025-01-03,Kosovo,Netherlands,24,36
2025,2,2025-01-03,Switzerland,Italy,29,31
2025,2,2025-01-03,Romania,Turkey,35,26
