season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2016,1,2016-04-06,Luxembourg,Finland,24,24,189,0,0
2016,1,2016-04-07,Great Britain,Greece,20,32,190,0,0
2016,2,2016-04-07,Austria,Czech Republic,26,27,191,1,1
2016,2,2016-04-07,Qatar,Brazil,30,28,192,1,1
2016,2,2016-04-07,Portugal,Netherlands,31,25,193,1,1
2016,2,2016-04-08,Portugal,Netherlands,36,24,194,1,1
2016,2,2016-04-08,Serbia,Russia,28,23,195,1,1
2016,3,2016-04-08,Denmark,Croatia,28,24,196,0,0
2016,3,2016-04-08,Poland,North Macedonia,25,20,197,0,0
2016,3,2016-04-08,Iran,Sweden,19,34,198,0,0
2016,3,2016-04-08,Chile,Tunisia,29,35,199,0,0
2016,3,2016-04-08,Norway,Bahrain,35,29,200,0,0
2016,3,2016-04-08,Spain,Slovenia,21,24,201,0,0
2016,2,2016-04-09,Slovakia,Netherlands,24,28,202,1,1
2016,2,2016-04-09,Serbia,Russia,27,25,203,1,1
2016,2,2016-04-09,France,Hungary,28,25,204,1,1
2016,2,2016-04-09,Czech Republic,Austria,26,23,205,1,1
2016,3,2016-04-09,Denmark,Norway,25,25,206,0,0
2016,3,2016-04-09,Poland,Chile,35,27,207,0,0
2016,3,2016-04-09,Slovenia,Sweden,23,24,208,0,0
2016,3,2016-04-09,Croatia,Bahrain,33,22,209,0,0
2016,3,2016-04-09,North Macedonia,Tunisia,26,32,210,0,0
2016,3,2016-04-09,Spain,Iran,37,23,211,0,0
2016,2,2016-04-10,Portugal,Slovakia,33,23,212,1,1
2016,3,2016-04-10,Bahrain,Denmark,24,26,213,0,0
2016,3,2016-04-10,Tunisia,Poland,24,28,214,0,0
2016,3,2016-04-10,Slovenia,Iran,33,17,215,0,0
2016,3,2016-04-10,Croatia,Norway,27,21,216,0,0
2016,3,2016-04-10,North Macedonia,Chile,30,27,217,0,0
2016,3,2016-04-10,Sweden,Spain,23,25,218,0,0
2016,1,2016-04-29,Iceland,Serbia,38,22,219,0,0
2016,1,2016-04-29,North Macedonia,France,25,27,220,0,0
2016,1,2016-04-29,Switzerland,Czech Republic,26,30,221,0,0
2016,1,2016-04-29,Sweden,Slovenia,28,24,222,0,0
2016,1,2016-04-29,Norway,Croatia,27,26,223,0,0
2016,1,2016-04-29,Latvia,Slovakia,25,18,224,0,0
2016,1,2016-04-29,Germany,Spain,29,28,225,0,0
2016,1,2016-04-29,Turkey,Netherlands,23,30,226,0,0
2016,1,2016-04-29,Finland,Austria,23,26,227,0,0
2016,1,2016-04-30,Bosnia & Herzegovina,Lithuania,26,23,228,0,0
2016,1,2016-04-30,Israel,Montenegro,19,22,229,0,0
2016,1,2016-04-30,Belarus,Denmark,27,36,230,0,0
2016,1,2016-04-30,Russia,Hungary,23,27,231,0,0
2016,1,2016-04-30,Ukraine,Portugal,26,32,232,0,0
2016,1,2016-05-02,Austria,Finland,29,22,233,0,0
2016,1,2016-05-02,Denmark,Belarus,32,23,234,0,0
